level_0	hhid14	pid14	panel	tk01	tk02	tk03	tk04	tk01a	tk01b	tk01c	tk01d	tk25a9x	age	marstat	sex	link	hhsize	nonfood	food	total	kabid	nmkab2014	pce	sc05	sc21x	ar02b_14	hhid07	pid07	dl06	dl05a	dl07a	dl30	dl42	index	dl2type	dl16j	dl10	dl16c2	dl16e	dl11d	dl11e	dl11f	sw00	sw01	sw03b	kk01	kk02a	kk02c	nonfood07	food07	total07	pce07	change
2885	1101531	2	3:New	2:Job se	3:No	3:No	3:No	3:No	3:No	3:No	1:Yes		18.0	1:Not ye	3:Female	110151105	2	1212654.8	441435.4	1654090.2	3202	SUKABUMI	1584220.7	1:Urban	96:SAME	3:Childr	1101531	2	6:Senior	7.0	3:No	1:Yes	3:No	7351	3	60	6	6.0	20.1			2014.0	2:Very s	3.0	2:Adequa	1:Very h	0.0	2:Somewh	398614.82	630809.85	1029424.7	794563.6	624665.5
2886	1101711	3	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		17.0	1:Not ye	3:Female	110171103	6	284520.18	200735.02	485255.21	3202	SUKABUMI	407653.51	1:Urban	96:SAME	3:Childr	1101711	3	6:Senior	6.0	1:Yes	1:Yes	3:No	7360	3	30	6			6:Still			2:Very s	3.0	3:More t	3:Somewh	0.0	2:Somewh	96430.536	276437.71	372868.25	372868.28	112386.96
2887	1101900	4	1:Panel	1:Workin				1:Yes	3:No	3:No	3:No		24.0	1:Not ye	1:Male	110190004	3	516605.65	431746.83	948352.48	3202	SUKABUMI	754720.85	1:Urban	1:Distan	4:Childr	1101900	4	74:Islam	6.0	3:No	3:No		7367	3	30	74	6.0	44.65			2008.0	3:Somewh	4.0	3:More t	2:Somewh	2.0	2:Somewh	395793.66	372297.04	768090.69	730005.08	180261.78
2888	1102000	8	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		17.0	1:Not ye	3:Female	110200008	4	589602.38	158953.08	748555.45	3202	SUKABUMI	571611	1:Urban	96:SAME	3:Childr	1102031	7	5:Senior	7.0	1:Yes	1:Yes	3:No	7370	3	30	5			6:Still			3:Somewh	3.0	2:Adequa	2:Somewh	2.0	2:Somewh	294951.55	162946.98	457898.53	457898.51	290656.92
2889	1102051	3	3:New	1:Workin				1:Yes	3:No	1:Yes	3:No		24.0	4:Divorc	3:Female	110200010	7	1124868.7	396798.78	1521667.5	3202	SUKABUMI	1030584.9	1:Urban	1:Distan	4:Childr	1102000	10	5:Senior	6.0	3:No	3:No		7373	3	15	5	6.0	47.9			2008.0	3:Somewh	3.0	3:More t	2:Somewh	3.0	2:Somewh	235707.33	484109.87	719817.2	719817.19	801850.31
2890	1102051	4	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		18.0	1:Not ye	3:Female	110200011	7	1124868.7	396798.78	1521667.5	3202	SUKABUMI	1030584.9	1:Urban	1:Distan	4:Childr	1102000	11	5:Senior	6.0	1:Yes	1:Yes	3:No	7376	3	50	5			6:Still			3:Somewh	3.0	3:More t	2:Somewh	0.0	2:Somewh	235707.33	484109.87	719817.2	719817.19	801850.31
2891	1102242	3	3:New	1:Workin				1:Yes	3:No	3:No	3:No	2:Less t	19.0	1:Not ye	3:Female	110220006	5	324560.52	188418.44	512978.95	3202	SUKABUMI	456524.38	1:Urban	96:SAME	3:Childr	1102242	3	6:Senior	7.0	3:No	1:Yes	3:No	7382	3	30	6	4.0	34.91			2014.0	2:Very s	2.0	2:Adequa	2:Somewh	2.0	3:About	97964.538	129141.81	227106.34	221816.68	285872.61
2892	1102800	5	3:New	1:Workin				1:Yes	3:No	3:No	3:No		17.0	1:Not ye	3:Female	110280005	3	509628.01	245241.89	754869.91	3202	SUKABUMI	528492.76	1:Urban	96:SAME	10:Grand	1102841	3	73:Islam	6.0	3:No	3:No		7387	2	10	73	4.0				2012.0	3:Somewh	3.0	2:Adequa	2:Somewh	0.0	2:Somewh	111273.33	238204.05	349477.37	349477.35	405392.53
2893	1102900	6	1:Panel	4:Housek	3:No	3:No	3:No	3:No	3:No	1:Yes	3:No		23.0	2:Marrie	3:Female	110290006	6	232246.16	171669.32	403915.49	3202	SUKABUMI	381790.13	1:Urban	96:SAME	3:Childr	1102900	6	6:Senior	7.0	3:No	3:No		7389	3	10	6	4.0	33.5			2011.0	3:Somewh	2.0	1:Less a	2:Somewh	1.0	2:Somewh	229613.65	213668.48	443282.13	428047.92	-39366.641
2894	1102900	7	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		16.0	1:Not ye	1:Male	110290007	6	232246.16	171669.32	403915.49	3202	SUKABUMI	381790.13	1:Urban	96:SAME	3:Childr	1102900	7	6:Senior	5.0	1:Yes	1:Yes	3:No	7392	3	15	6			6:Still			3:Somewh	3.0	2:Adequa	2:Somewh	2.0	4:Somewh	229613.65	213668.48	443282.13	428047.92	-39366.641
2895	1102900	9	3:New	2:Job se	3:No	3:No	3:No	3:No	3:No	3:No	1:Yes		22.0	2:Marrie	1:Male	110290009	6	232246.16	171669.32	403915.49	3202	SUKABUMI	381790.13	1:Urban	96:SAME	5:Sons/d	1102900		6:Senior	7.0	3:No	3:No		7395	3	10	6	4.0	29			2010.0	3:Somewh	3.0	2:Adequa	1:Very h	0.0	2:Somewh	229613.65	213668.48	443282.13	428047.92	-39366.641
2896	1511600	6	3:New	4:Housek	3:No	3:No	3:No	3:No	3:No	1:Yes	3:No		21.0	2:Marrie	3:Female	151160006	5	231156.2	292110.34	523266.54	3202	SUKABUMI	506162.49	1:Urban	96:SAME	3:Childr	1511600	6	74:Islam	6.0	3:No	3:No		9859	3	15	74	5.0				2010.0	2:Very s	4.0	2:Adequa	2:Somewh	2.0	2:Somewh	372709.57	726531.52	1099241.1	1087956.5	-575974.55
2897	1511600	7	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		16.0	1:Not ye	3:Female	151160007	5	231156.2	292110.34	523266.54	3202	SUKABUMI	506162.49	1:Urban	96:SAME	3:Childr	1511600	7	6:Senior	7.0	1:Yes	1:Yes	3:No	9862	3	15	6			6:Still			2:Very s	4.0	2:Adequa	2:Somewh	2.0	2:Somewh	372709.57	726531.52	1099241.1	1087956.5	-575974.55
2898	0880621	7	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		16.0	1:Not ye	3:Female	088062107	3	642046.96	154110.24	796157.2	3206	TASIKMALAYA	777189.79	1:Urban	1:Distan	8:Siblin	0880621	7	5:Senior	7.0	1:Yes	1:Yes	3:No	6364	3	15	74			6:Still			3:Somewh	8:Don't	3:More t	2:Somewh	4.0	1:Much b	121294.15	244315.55	365609.69	360024.05	430547.51
2899	0881100	8	1:Panel	1:Workin				1:Yes	3:No	3:No	3:No	1:Receiv	21.0	1:Not ye	1:Male	088110005	6	144039.73	283254.62	427294.35	3206	TASIKMALAYA	427294.38	2:Rural	96:SAME	3:Childr	0881100	8	74:Islam	7.0	3:No	3:No		6368	3	30	5			3:No	C	2009.0	4:Not ve	3.0	2:Adequa	3:Somewh	4.0	2:Somewh	124656.27	256296.75	380953.01	380953.01	46341.338
2900	0881131	4	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		15.0	1:Not ye	3:Female	088113104	3	410075.48	638078.02	1048153.5	3206	TASIKMALAYA	1036299	2:Rural	14:Move	3:Childr	0881131	4	73:Islam	7.0	1:Yes	1:Yes	1:Yes	6373	2	10	73			6:Still			2:Very s	3.0	3:More t	2:Somewh	0.0	2:Somewh	168243.53	370271.53	538515.06	516172.54	509638.45
2901	1160100	3	3:New	4:Housek	3:No	3:No	3:No	3:No	3:No	1:Yes	3:No		21.0	2:Marrie	3:Female	116010003	5	120817.69	186781.61	307599.29	3206	TASIKMALAYA	273457.93	1:Urban	96:SAME	3:Childr	1160100	3	74:Islam	6.0	3:No	3:No		7731	3	30	74	6.0	41.7			2011.0	3:Somewh	2.0	2:Adequa	2:Somewh	0.0	3:About	141520.58	212254.02	353774.61	340347.63	-46175.312
2902	1160500	4	1:Panel	4:Housek	3:No	3:No	1:Yes	3:No	3:No	1:Yes	3:No		23.0	2:Marrie	3:Female	116050004	3	292358.98	392056.44	684415.43	3206	TASIKMALAYA	622771.37	1:Urban	96:SAME	3:Childr	1160500	4	2:Elemen	7.0	3:No												2:Very s	3.0	3:More t	1:Very h	0.0	2:Somewh	288519.38	217653.46	506172.84	468935.29	178242.59
2903	1160800	4	3:New	1:Workin				1:Yes	3:No	3:No	3:No		18.0	1:Not ye	3:Female	116080004	3	373420.96	279247.76	652668.72	3206	TASIKMALAYA	595766.47	1:Urban	96:SAME	3:Childr	1160800	4	5:Senior	7.0	3:No	1:Yes	3:No	7740	3	30	5	6.0	5.7			2014.0	3:Somewh	3.0	1:Less a	2:Somewh	7.0	2:Somewh	141015.73	241299.3	382315.03	382315.03	270353.69
2904	1160900	5	3:New	2:Job se	3:No	3:No	3:No	3:No	3:No	3:No	1:Yes		19.0	1:Not ye	1:Male	116090005	2	414248.32	870106.4	1284354.7	3206	TASIKMALAYA	1197578.7	1:Urban	96:SAME	3:Childr	1160900	5	3:Junior	7.0	3:No	3:No		7742	2	10	3	4.0				2013.0	2:Very s	3.0	2:Adequa	2:Somewh	2.0	1:Much b	304923.14	386735.18	691658.33	685643.05	592696.4
2905	1161000	8	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		15.0	1:Not ye	1:Male	116100008	4	380978.3	628307.45	1009285.7	3206	TASIKMALAYA	929622.63	1:Urban	96:SAME	10:Grand	1161000		3:Junior	7.0	1:Yes	1:Yes	3:No	7746	2	10	3			6:Still			2:Very s	2.0	2:Adequa	1:Very h	0.0	3:About	323071.53	818760.58	1141832.1	1048380.1	-132546.36
2906	1161011	4	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		16.0	1:Not ye	1:Male	116101104	3	309643.04	450618.35	760261.38	3206	TASIKMALAYA	753148.63	1:Urban	11:Move	3:Childr	1161011	4	6:Senior	7.0	1:Yes	1:Yes	3:No	7749	3	15	6			6:Still			2:Very s	4.0	3:More t	1:Very h	0.0	2:Somewh	197564.88	508851.07	706415.94	672579.92	53845.44
2907	1161521	3	3:New										23.0	1:Not ye	1:Male		5	349351.32	150165.01	499516.33	3206	TASIKMALAYA	498093.79	1:Urban	96:SAME	3:Childr	1161500	6																					49862.507	159190.51	209053.02	209053.01	290463.31
2908	1161521	5	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		15.0	1:Not ye	3:Female	116152105	5	349351.32	150165.01	499516.33	3206	TASIKMALAYA	498093.79	1:Urban	96:SAME	3:Childr	1161521	5	6:Senior	6.0	1:Yes	1:Yes	1:Yes	7759	3	30	6			6:Still			2:Very s	1:Poores	1:Less a	1:Very h	0.0	1:Much b	115096.24	179438.42	294534.66	270043.83	204981.67
2909	1161900	7	1:Panel	2:Job se	1:Yes			1:Yes	3:No	3:No	1:Yes		23.0	1:Not ye	1:Male	116190007	5	114515.76	335837.03	450352.79	3206	TASIKMALAYA	413366.34	1:Urban	96:SAME	3:Childr	1161900	7	60:Colle	7.0	3:No	1:Yes	3:No	7761	4	60	60					2013.0	3:Somewh	3.0	2:Adequa	2:Somewh	2.0	4:Somewh	105082.39	265596.84	370679.23	363562.85	79673.555
2910	1162000	7	3:New	1:Workin				1:Yes	3:No	3:No	3:No		16.0	1:Not ye	1:Male	116202103	3	218125.26	740345.62	958470.88	3206	TASIKMALAYA	956099.88	1:Urban	96:SAME	10:Grand	1162000	7	3:Junior	7.0	3:No	3:No		7768	2	12	73			3:No	K	2012.0	2:Very s	3.0	2:Adequa	3:Somewh	0.0	4:Somewh	490944.83	703044.87	1193989.7	960538.88	-235518.82
2912	1171852	6	3:New	4:Housek	1:Yes			1:Yes	3:No	1:Yes	1:Yes		21.0	2:Marrie	3:Female	117180014	8	267004.88	306062.94	573067.82	3206	TASIKMALAYA	487892.31	2:Rural	13:Move	5:Sons/d	1171800	14	6:Senior	7.0	3:No	3:No		7813	3	30	6			3:No	K	2010.0	3:Somewh	3.0	2:Adequa	2:Somewh	4.0	3:About	154118.94	234676.32	388795.27	388795.32	184272.55
2913	0882041	4	3:New	3:Attend	3:No	3:No	1:Yes	3:No	1:Yes	1:Yes	3:No		16.0	1:Not ye	1:Male	088200010	2	189581.91	323479.91	513061.82	3306	PURWOREJO	510922.85	2:Rural	96:SAME	10:Grand	0882041	4	6:Senior	6.0	1:Yes	1:Yes	3:No	6399	3	35	6			6:Still			2:Very s	3.0	2:Adequa	2:Somewh	0.0	2:Somewh	123493.27	368909.2	492402.48	492402.49	20659.347
2914	1660300	6	1:Panel	1:Workin				1:Yes	3:No	1:Yes	3:No		22.0	2:Marrie	3:Female	166030006	3	490555.37	535302.11	1025857.5	3306	PURWOREJO	858544.39	2:Rural	96:SAME	3:Childr	1660300	6	73:Islam	7.0	3:No	3:No		10700	2	30	73	4.0	24.95			2008.0	2:Very s	3.0	2:Adequa	3:Somewh	0.0	2:Somewh	115320.73	223352.73	338673.45	268181.92	687184.03
2915	1660311	5	3:New	1:Workin				1:Yes	1:Yes	1:Yes	3:No		17.0	1:Not ye	3:Female	166031105	2	133284.85	212625.49	345910.34	3306	PURWOREJO	341632.44	2:Rural	11:Move	3:Childr	1660311	5	15:Adult	6.0	1:Yes	3:No		10705	3	60	15			6:Still			2:Very s	3.0	2:Adequa	2:Somewh	0.0	2:Somewh	126146.46	208102.63	334249.09	332119.44	11661.251
2916	1660600	7	3:New	1:Workin				1:Yes	3:No	3:No	3:No		22.0	1:Not ye	1:Male	166060007	5	87910.678	269906.46	357817.13	3306	PURWOREJO	341275.93	2:Rural	96:SAME	3:Childr	1660600		73:Islam	7.0	3:No	3:No		10713	2	30	73	6.0	42.75			2008.0	3:Somewh	2.0	2:Adequa	2:Somewh	0.0	2:Somewh	133768.85	195182.72	328951.57	323627.45	28865.561
2917	1660600	8	3:New	4:Housek	3:No	3:No	3:No	3:No	3:No	1:Yes	3:No		16.0	1:Not ye	3:Female	166060008	5	87910.678	269906.46	357817.13	3306	PURWOREJO	341275.93	2:Rural	96:SAME	3:Childr	1660600		73:Islam	7.0	3:No	1:Yes	3:No	10715	2	60	73	4.0	19.9			2014.0	2:Very s	2.0	2:Adequa	3:Somewh	0.0	2:Somewh	133768.85	195182.72	328951.57	323627.45	28865.561
2918	1660700	6	3:New	1:Workin				1:Yes	3:No	3:No	1:Yes		19.0	1:Not ye	1:Male	166070006	3	149464.79	157877.97	307342.76	3306	PURWOREJO	304490.82	2:Rural	96:SAME	3:Childr	1660700	6	3:Junior	7.0	3:No	3:No		10721	2	60	3	4.0	20.9			2012.0	5:Not at	3.0	2:Adequa	3:Somewh	3.0	4:Somewh	272808.59	129198.97	402007.56	401155.72	-94664.795
2919	1660700	8	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	1:Yes	3:No		15.0	1:Not ye	3:Female	166070008	3	149464.79	157877.97	307342.76	3306	PURWOREJO	304490.82	2:Rural	96:SAME	3:Childr	1660700	8	6:Senior	6.0	1:Yes	1:Yes	1:Yes	10724	3	60	6			6:Still			4:Not ve	3.0	1:Less a	2:Somewh	0.0	2:Somewh	272808.59	129198.97	402007.56	401155.72	-94664.795
2920	1660900	5	3:New	3:Attend	1:Yes			3:No	1:Yes	3:No	3:No		17.0	1:Not ye	1:Male	166203103	5	227740.7	369267.62	597008.33	3306	PURWOREJO	549523.76	2:Rural	1:Distan	10:Grand	1660900	5	15:Adult	6.0	1:Yes	3:No		10733	3	20	15			6:Still			3:Somewh	3.0	2:Adequa	3:Somewh	0.0	2:Somewh	67677.341	201352.63	269029.97	210859.99	327978.35
2921	1660931	3	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		17.0	1:Not ye	1:Male	166093103	5	264031.48	261749.94	525781.42	3306	PURWOREJO	524070.25	2:Rural	96:SAME	3:Childr	1660931	3	6:Senior	6.0	1:Yes	1:Yes	1:Yes	10739	3	30	6			6:Still			3:Somewh	4.0	2:Adequa	1:Very h	0.0	2:Somewh	260962.39	236849.38	497811.77	487509.58	27969.646
2922	1661541	3	3:New	1:Workin				1:Yes	3:No	3:No	1:Yes		16.0	1:Not ye	3:Female	166150003	5	71412.275	282660.28	354072.55	3306	PURWOREJO	350864.13	2:Rural	96:SAME	3:Childr	1661541	3	73:Islam	6.0	3:No	3:No		10755	2	30	73	4.0	9.7			2013.0	4:Not ve	2.0	2:Adequa	2:Somewh	0.0	2:Somewh	66296.107	99298.632	165594.74	165168.8	188477.82
2923	1661541	4	3:New	4:Housek	1:Yes			1:Yes	3:No	1:Yes	3:No		21.0	2:Marrie	3:Female	166150004	5	71412.275	282660.28	354072.55	3306	PURWOREJO	350864.13	2:Rural	96:SAME	3:Childr	1661500	4	12:Adult	7.0	3:No	3:No		10757	2	60	12	4.0				2009.0	2:Very s	3.0	3:More t	2:Somewh	3.0	1:Much b	117418.43	112956.81	230375.25	229736.34	123697.31
2924	1661832	4	3:New	3:Attend	1:Yes			3:No	1:Yes	3:No	3:No		16.0	1:Not ye	1:Male	166183204	5	379178.07	289185.49	668363.56	3306	PURWOREJO	668363.6	2:Rural	96:SAME	3:Childr	1661832	4	6:Senior	7.0	1:Yes	1:Yes	3:No	10766	3	15	6			6:Still			3:Somewh	3.0	2:Adequa	2:Somewh	0.0	3:About	360656.79	324806.19	685462.98	416913.69	-17099.412
2925	1661900	6	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		16.0	1:Not ye	1:Male	166190006	5	78142.823	110112.94	188255.76	3306	PURWOREJO	184833.44	2:Rural	96:SAME	10:Grand	1661900		6:Senior	7.0	1:Yes	1:Yes	3:No	10769	3	45	6			6:Still			2:Very s	3.0	2:Adequa	2:Somewh	0.0	2:Somewh	132464.43	233527.13	365991.56	330639.34	-177735.8
2926	1662041	3	3:New	3:Attend	1:Yes			1:Yes	1:Yes	3:No	3:No		17.0	1:Not ye	1:Male	166204103	4	423618.24	404581.62	828199.86	3306	PURWOREJO	751910.83	2:Rural	96:SAME	3:Childr	1662041	3	6:Senior	7.0	1:Yes	1:Yes	3:No	10772	3	30	6			6:Still			3:Somewh	4.0	3:More t	3:Somewh	2.0	2:Somewh	82614.576	253668.34	336282.92	334685.68	491916.94
2927	1662041	4	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	1:Yes	3:No		15.0	1:Not ye	3:Female	166204104	4	423618.24	404581.62	828199.86	3306	PURWOREJO	751910.83	2:Rural	96:SAME	3:Childr	1662041	4	5:Senior	7.0	1:Yes	1:Yes	1:Yes	10775	3	25	5			6:Still			2:Very s	4.0	3:More t	2:Somewh	1.0	2:Somewh	82614.576	253668.34	336282.92	334685.68	491916.94
2928	1662251	3	3:New	4:Housek	3:No	3:No	3:No	3:No	3:No	1:Yes	3:No		23.0	2:Marrie	3:Female	166220003	4	146517.8	254427.63	400945.43	3306	PURWOREJO	392389.63	2:Rural	11:Move	5:Sons/d	1662200	3	3:Junior	6.0	3:No	3:No		10777	2	60	3	98:Don't				2007.0	3:Somewh	3.0	3:More t	3:Somewh	3.0	3:About	100656.29	107235.14	207891.43	195290.98	193054
2929	1662700	4	1:Panel	1:Workin				1:Yes	3:No	1:Yes	3:No		23.0	2:Marrie	1:Male	166270004	6	489723.56	201750.13	691473.69	3306	PURWOREJO	691473.68	2:Rural	96:SAME	3:Childr	1662700	4	2:Elemen	6.0	3:No												2:Very s	3.0	2:Adequa	2:Somewh	0.0	2:Somewh	1259618.9	146640.83	1406259.8	488805.1	-714786.07
2930	1662700	7	3:New	4:Housek	3:No	3:No	3:No	3:No	3:No	1:Yes	3:No		24.0	2:Marrie	3:Female	166270007	6	489723.56	201750.13	691473.69	3306	PURWOREJO	691473.68	2:Rural	96:SAME	5:Sons/d	1662700		73:Islam	7.0	3:No	3:No		10783	2	15	73	3.0	23			2006.0	3:Somewh	3.0	2:Adequa	1:Very h	0.0	2:Somewh	1259618.9	146640.83	1406259.8	488805.1	-714786.07
2931	1672231	2	1:Panel	4:Housek	3:No	3:No	3:No	3:No	3:No	1:Yes	3:No		23.0	2:Marrie	3:Female	167220008	5	97165.184	134211.73	231376.91	3306	PURWOREJO	220995.89	2:Rural	12:Move	5:Sons/d	1672231	2	14:Islam														2:Very s	3.0	2:Adequa	2:Somewh	2.0	3:About	199867.96	205426.36	405294.33	402099.85	-173917.41
2932	0900531	2	3:New	4:Housek	3:No	3:No	3:No	1:Yes	3:No	1:Yes	3:No		18.0	2:Marrie	3:Female	090053102	4	144547.5	312247.17	456794.67	3501	PACITAN	450654.47	2:Rural	96:SAME	3:Childr	0900531	2	73:Islam	7.0	3:No	1:Yes	1:Yes	6451	2	30	73	4.0	26.79			2013.0	2:Very s	3.0	2:Adequa	1:Very h	0.0	2:Somewh	87216.212	50477.433	137693.64	121052.74	319101.03
2933	0930131	5	3:New	3:Attend	1:Yes			1:Yes	1:Yes	1:Yes	3:No		18.0	1:Not ye	1:Male	093013105	5	410292.61	310911.48	721204.09	3308	MAGELANG	701383.2	2:Rural	96:SAME	3:Childr	0930131	5	6:Senior	6.0	1:Yes	1:Yes	1:Yes	6571	3	20	6			6:Still			3:Somewh	2.0	2:Adequa	2:Somewh	3.0	2:Somewh	99369.622	225027.7	324397.32	324397.3	396806.77
2934	0930131	6	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		17.0	1:Not ye	3:Female	093013106	5	410292.61	310911.48	721204.09	3308	MAGELANG	701383.2	2:Rural	96:SAME	3:Childr	0930131	6	6:Senior	7.0	1:Yes	1:Yes	3:No	6574	3	35	6			6:Still			3:Somewh	3.0	2:Adequa	2:Somewh	0.0	2:Somewh	99369.622	225027.7	324397.32	324397.3	396806.77
2935	1812531	4	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		15.0	1:Not ye	1:Male	181253104	3	551586.62	470976.89	1022563.5	3308	MAGELANG	1004026	2:Rural	96:SAME	3:Childr	1812531	4	6:Senior	6.0	1:Yes	1:Yes	1:Yes	11825	3	15	6			6:Still			2:Very s	3.0	2:Adequa	1:Very h	0.0	1:Much b	89402.846	196151.73	285554.58	285554.56	737008.93
2936	1871931	4	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		16.0	1:Not ye	1:Male	187193104	4	1403915	888503.89	2292418.9	3308	MAGELANG	1757611.1	1:Urban	96:SAME	3:Childr	1871931	4	5:Senior	7.0	1:Yes	1:Yes	1:Yes	12251	3	30	5			6:Still			1:Comple	4.0	2:Adequa	1:Very h	0.0	3:About	346822.56	266888.16	613710.72	598377.2	1678708.2
2937	2001731	3	3:New	3:Attend	1:Yes			1:Yes	1:Yes	1:Yes	3:No		16.0	1:Not ye	3:Female	200173103	4	465399	196822.24	662221.24	3308	MAGELANG	605040.11	2:Rural	96:SAME	3:Childr	2001731	3	15:Adult	7.0	1:Yes	1:Yes	1:Yes	12958	3	90	15			6:Still			4:Not ve	1:Poores	1:Less a	2:Somewh	0.0	2:Somewh	61582.474	169066.07	230648.54	223549.71	431572.7
2938	0940700	3	1:Panel	1:Workin				1:Yes	3:No	3:No	3:No		22.0	1:Not ye	3:Female	094070003	4	287366.77	214759.64	502126.4	3315	GROBOGAN	480929.73	2:Rural	96:SAME	3:Childr	0940700	3	6:Senior	5.0	3:No	3:No		6637	3	20	6	4.0				2011.0				1:Very h	0.0	2:Somewh	193684.4	358837.1	552521.5		-50395.097
2939	1970142	4	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		15.0	1:Not ye	3:Female	197010009	3	813886.2	105790.62	919676.83	3315	GROBOGAN	914293.54	1:Urban	96:SAME	10:Grand	1970142	4	5:Senior	7.0	1:Yes	1:Yes	3:No	12747	3	30	5			6:Still			4:Not ve	4.0	3:More t	2:Somewh	0.0	2:Somewh	1293639.8	359110.01	1652749.8		-733072.99
2940	0951441	3	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		16.0	1:Not ye	3:Female	095144103	4	234036.33	151080.88	385117.21	3402	BANTUL	380839.32	1:Urban	96:SAME	3:Childr	0951441	3	3:Junior	7.0	1:Yes	1:Yes	3:No	6675	2	5	3			6:Still			3:Somewh	3.0	2:Adequa	2:Somewh	0.0	2:Somewh	197711.69	296511.63	494223.32	473459.22	-109106.1
2941	1980300	5	3:New	1:Workin				1:Yes	3:No	1:Yes	3:No		18.0	2:Marrie	3:Female	198030005	5	211085.44	728524.97	939610.42	3402	BANTUL	831807.52	1:Urban	96:SAME	3:Childr	1980300	5	3:Junior	7.0	3:No	3:No		12823	2	10	3	4.0	29.3			2011.0	2:Very s	3.0	2:Adequa	2:Somewh	0.0	3:About	275917.89	297965.12	573883	522238.93	365727.41
2942	1980800	4	1:Panel	3:Attend	1:Yes			1:Yes	1:Yes	3:No	3:No	3:Not re	22.0	1:Not ye	3:Female	198080004	4	705067.85	463438.3	1168506.2	3402	BANTUL		1:Urban	96:SAME	3:Childr	1980800	4	61:Unive	5.0	1:Yes	1:Yes	3:No	12833	4	45	61			6:Still			2:Very s	4.0	3:More t	2:Somewh	0.0	3:About	486391.52	280246.41	766637.94	758438.78	401868.22
2943	1980800	5	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		16.0	1:Not ye	1:Male	198080005	4	705067.85	463438.3	1168506.2	3402	BANTUL		1:Urban	96:SAME	3:Childr	1980800	5	17:Schoo	7.0	1:Yes	1:Yes	1:Yes													2:Somewh	0.0	3:About	486391.52	280246.41	766637.94	758438.78	401868.22
2944	1980931	3	3:New	1:Workin				1:Yes	3:No	3:No	3:No	1:Receiv	19.0	1:Not ye	1:Male	198090004	4	354138.15	682644.58	1036782.7	3402	BANTUL	1021631.8	1:Urban	11:Move	3:Childr	1980931	3	6:Senior	6.0	3:No	3:No		12837	3	45	6	4.0	28			2013.0	3:Somewh	4.0	2:Adequa	2:Somewh	0.0	2:Somewh	305058.64	372369.88	677428.52	534528.77	359354.21
2945	1981000	7	1:Panel	1:Workin				1:Yes	3:No	3:No	3:No		22.0	1:Not ye	3:Female	198100007	6	164995.91	180555.56	345551.47	3402	BANTUL	269618.87	1:Urban	96:SAME	3:Childr	1981000	7	6:Senior	6.0	3:No															2:Somewh	3.0	2:Somewh	73564.309	223936.08	297500.39	292815.16	48051.083
2946	1981100	8	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	1:Yes	3:No		15.0	1:Not ye	1:Male	198110008	4	1449884.5	1009461.3	2459345.7	3402	BANTUL	2108737	1:Urban	96:SAME	3:Childr	1981100	8	5:Senior	7.0	1:Yes	1:Yes	3:No													2:Somewh	3.0	2:Somewh	630057.92	368401.62	998459.54	974252.49	1460886.2
2947	1981400	5	3:New	3:Attend	1:Yes			3:No	1:Yes	3:No	3:No		17.0	1:Not ye	1:Male	198140005	5	1057249.6	85346.795	1142596.4	3402	BANTUL	941535.44	1:Urban	12:Move	3:Childr	1981400	5	5:Senior	6.0	1:Yes	1:Yes	3:No	12847	3	25	5			6:Still			3:Somewh	3.0	2:Adequa	2:Somewh	1.0	4:Somewh	151205.38	174086.38	325291.76	306124.88	817304.64
2948	1981500	5	3:New	3:Attend	3:No	3:No	3:No	3:No	1:Yes	3:No	3:No		16.0	1:Not ye	1:Male	198150005	4	777061.22	411533.21	1188594.4	3402	BANTUL	1178256.1	1:Urban	96:SAME	3:Childr	1981500	5	5:Senior	6.0	1:Yes	1:Yes	3:No	12850	3	15	5			6:Still			3:Somewh	4.0	2:Adequa	2:Somewh	7.0	1:Much b	114119.6	130121.81	244241.41	218685.57	944353.01
